subject,trial,emg_file,label,top_k,top_channels,top_ratio,sig_count,sig_channels,sig_ratio,top_mean,rest_mean,mean_ratio,mean_to_median
(16)Tynan,Trial 6,PaPi20112025_154923_M02DA1_EMG_raw.sig,Wrist Extension,5,13;17;12;16;11,0.29025121522763137,1,13,0.06175140609913661,0.00021544899010230494,9.756213907578154e-05,2.208325813100045,1.3301917707068012
(16)Tynan,Trial 7,PaPi20112025_155208_M02DA1_EMG_raw.sig,Wrist Extension,5,17;12;13;14;16,0.3582089766739239,2,12;17,0.16203167935912385,0.0005902807511850802,0.0001958493050364322,3.0139537695846057,1.5848934078984644
(16)Tynan,Trial 8,PaPi20112025_155530_M02DA1_EMG_raw.sig,Wrist Extension,5,12;13;11;16;17,0.3218238158973227,2,12;13,0.13730619485770715,0.00029639314103262914,0.00011566414283936788,2.5625326376581046,1.3407991804612387
(17)Ben,Trial 1,PaPi20112025_162239_M02DA1_EMG_raw.sig,Wrist Extension,5,18;19;17;15;16,0.3536852993851719,2,18;19,0.16671677696209267,0.00015956268149478574,5.399637332903399e-05,2.9550629358469984,1.4740121279228435
(17)Ben,Trial 4,PaPi20112025_164243_M02DA1_EMG_raw.sig,Wrist Extension,5,18;17;29;27;16,0.27563884456460935,2,17;18,0.12525592417531062,0.00019643936018153658,9.55981489439415e-05,2.054844809774801,1.0236632841227025
(17)Ben,Trial 5,PaPi20112025_164524_M02DA1_EMG_raw.sig,Wrist Extension,5,1;16;27;29;28,0.3222152964416172,2,1;16,0.14865442442788396,0.0003255017042411352,0.00012679587251894113,2.567131703695724,1.2566143496129851
(17)Ben,Trial 6,PaPi20112025_164833_M02DA1_EMG_raw.sig,Wrist Extension,5,30;31;28;13;17,0.28823740194745207,2,30;31,0.1497663365719427,0.00021256840553672784,9.720526382874043e-05,2.186799327156173,1.0694144160865477
(17)Ben,Trial 7,PaPi20112025_165129_M02DA1_EMG_raw.sig,Wrist Extension,5,27;29;30;26;17,0.32774466873736763,1,27,0.07961238357321009,0.0003472769745945764,0.00013191095016884291,2.6326622175798904,1.2801329609094874
(17)Ben,Trial 8,PaPi20112025_165647_M02DA1_EMG_raw.sig,Wrist Extension,5,15;14;16;17;13,0.2720704378385352,0,,0.0,0.00021962100882327198,0.00010881483899173765,2.0183001772391345,1.1098843414880861
(18)Rory,Trial 2,PaPi20112025_174411_M02DA1_EMG_raw.sig,Wrist Extension,5,29;1;20;30;17,0.19154543344107264,0,,0.0,0.00011803579884507652,9.225794988360281e-05,1.2794105981543737,1.0277289834848709
(18)Rory,Trial 3,PaPi20112025_174841_M02DA1_EMG_raw.sig,Wrist Extension,5,14;13;15;12;16,0.20470150138027,2,13;14,0.08774872479509326,0.00013280561656990613,9.555024769502598e-05,1.3899034254080698,1.0340250843869092
(18)Rory,Trial 4,PaPi20112025_175312_M02DA1_EMG_raw.sig,Wrist Extension,5,32;1;29;20;30,0.19978283883665005,2,1;32,0.0916461510022045,0.00012324376394555383,9.14157179735005e-05,1.3481681999290278,1.0240060034284335
(18)Rory,Trial 5,PaPi20112025_175558_M02DA1_EMG_raw.sig,Wrist Extension,5,13;14;15;12;16,0.21467249149098971,2,13;14,0.09373469805509815,0.0001442078005494198,9.769434077832059e-05,1.4761121207280927,1.0516227427435645
(18)Rory,Trial 6,PaPi20112025_180006_M02DA1_EMG_raw.sig,Wrist Extension,5,1;29;14;20;15,0.21234134665835225,1,1,0.05687778514134157,0.00014668242642608046,0.00010075991835774342,1.4557616641300888,1.0082470964048373
(18)Rory,Trial 7,PaPi20112025_180307_M02DA1_EMG_raw.sig,Wrist Extension,5,14;13;15;12;16,0.20855778403743216,2,13;14,0.09116018234806544,0.00013997966471433323,9.837030035737774e-05,1.4229870622107417,1.0081544405886087
(18)Rory,Trial 8,PaPi20112025_181013_M02DA1_EMG_raw.sig,Wrist Extension,5,1;20;19;31;32,0.2039567203394852,1,1,0.045932718415847555,0.00014100859772363098,0.00010191790653883846,1.3835507666152465,1.023409641862647
(19)Benahia,trial 1,PaPi21112025_095727_M02DA1_EMG_raw.sig,Wrist Extension,5,17;16;20;18;19,0.2775256472376874,1,17,0.06470787378356661,0.00019546090553705604,9.422918981562049e-05,2.074313765400265,1.184671162083825
(19)Benahia,trial 2,PaPi21112025_100101_M02DA1_EMG_raw.sig,Wrist Extension,5,17;20;18;16;19,0.2933226157019874,2,17;20,0.12779970154869108,0.00015863316901286377,7.077434912953398e-05,2.2413935410769676,1.2361174302765652
(19)Benahia,trial 3,PaPi21112025_100423_M02DA1_EMG_raw.sig,Wrist Extension,5,17;21;20;16;18,0.30706317089502283,2,17;21,0.13169260507021519,0.00025777201221396825,0.00010772287009586035,2.3929181610607135,1.1983129440747138
(19)Benahia,trial 4,PaPi21112025_100756_M02DA1_EMG_raw.sig,Wrist Extension,5,17;16;18;19;15,0.3054788386574886,1,17,0.07653351632847437,0.00021259742451842115,8.950938869167367e-05,2.3751410620257913,1.2428966324871982
(19)Benahia,trial 5,PaPi21112025_101253_M02DA1_EMG_raw.sig,Wrist Extension,5,17;32;16;18;19,0.28350204886380814,2,17;32,0.12453194420781798,0.0001673750410526638,7.833497112682636e-05,2.1366579784867636,1.1923091839957694
(19)Benahia,trial 6,PaPi21112025_101640_M02DA1_EMG_raw.sig,Wrist Extension,5,32;17;18;1;16,0.309114812179921,1,32,0.09771408339495849,0.00018437530772654015,7.631239153247674e-05,2.4160598825955337,1.1948763745924154
(19)Benahia,trial 7,PaPi21112025_101915_M02DA1_EMG_raw.sig,Wrist Extension,5,21;20;22;19;18,0.335063924925445,2,20;21,0.16298287376988796,0.00019057076726933716,7.003493771691e-05,2.7210814128178153,1.2926050871904096
(19)Benahia,trial 8,PaPi21112025_102246_M02DA1_EMG_raw.sig,Wrist Extension,5,21;20;18;17;22,0.28060423951306895,1,21,0.06197965128055834,0.00016974648083562758,8.058990898872499e-05,2.1062994482271487,1.255951373787471
(20)Kshama,trial 1,PaPi21112025_112927_M02DA1_EMG_raw.sig,Wrist Extension,5,31;30;32;21;22,0.2286280366357973,1,31,0.06116454659296123,4.484913715985709e-05,2.802171394268896e-05,1.6005137034652555,1.0759195032753823
(20)Kshama,trial 2,PaPi21112025_113229_M02DA1_EMG_raw.sig,Wrist Extension,5,22;21;31;23;17,0.20840411749661558,1,22,0.04439572437138272,4.5451799512434064e-05,3.1970877310838194e-05,1.4216625671709613,1.0256378465732112
(20)Kshama,trial 3,PaPi21112025_113534_M02DA1_EMG_raw.sig,Wrist Extension,5,30;31;29;20;32,0.2391457420773197,2,30;31,0.12487816129039007,5.441964879270474e-05,3.2062752116269166e-05,1.6972856414621789,1.1055899408960261
(20)Kshama,trial 4,PaPi21112025_113821_M02DA1_EMG_raw.sig,Wrist Extension,5,32;31;21;20;22,0.2651255835714075,1,32,0.11265096213528072,7.384245203458265e-05,3.790302226645151e-05,1.9481943026992234,1.1474580157079353
(20)Kshama,trial 5,PaPi21112025_114132_M02DA1_EMG_raw.sig,Wrist Extension,5,31;30;20;21;28,0.20617706234697247,1,31,0.04899079900393225,3.6694599580597436e-05,2.61632499032156e-05,1.4025245226162626,1.0325941251639994
(20)Kshama,trial 6,PaPi21112025_114443_M02DA1_EMG_raw.sig,Wrist Extension,5,32;31;1;10;30,0.2322155666604484,2,31;32,0.11596954666490751,4.702276644996525e-05,2.8791373888188967e-05,1.6332241258294142,1.0427976798582665
(20)Kshama,trial 7,PaPi21112025_114840_M02DA1_EMG_raw.sig,Wrist Extension,5,21;1;20;31;32,0.22439873949143535,2,1;21,0.09325814108620928,4.978502527112601e-05,3.1865670806324124e-05,1.5623404124681277,1.0486847413421017
(20)Kshama,trial 8,PaPi21112025_115228_M02DA1_EMG_raw.sig,Wrist Extension,5,1;31;32;2;3,0.29854279254256033,1,1,0.10802320631379914,0.00012619223922427015,5.4907728560069914e-05,2.298260054342147,1.2026850254459505
(21)RubyL,trial 1,PaPi21112025_131829_M02DA1_EMG_raw.sig,Wrist Extension,5,22;23;18;21;17,0.23667241535563371,1,22,0.05171787217208408,0.00013066052661064019,7.803940658448556e-05,1.6742890845689213,1.1230812353098723
(21)RubyL,trial 2,PaPi21112025_132058_M02DA1_EMG_raw.sig,Wrist Extension,5,32;22;18;21;23,0.26007156913487883,1,32,0.06727276118781382,0.0001317337565583396,6.940650143914537e-05,1.8980031240134168,1.069351569169157
(21)RubyL,trial 3,PaPi21112025_132344_M02DA1_EMG_raw.sig,Wrist Extension,5,23;19;18;22;20,0.2693999516878612,0,,0.0,0.00013924182267760894,6.992912962882592e-05,1.9911848383740103,1.145472509639606
(21)RubyL,trial 4,PaPi21112025_132627_M02DA1_EMG_raw.sig,Wrist Extension,5,18;19;17;20;16,0.25067664976913007,2,18;19,0.10878088168783587,0.00013553960461277513,7.502877209651789e-05,1.8065017036186517,1.0556259208545316
(21)RubyL,trial 5,PaPi21112025_132855_M02DA1_EMG_raw.sig,Wrist Extension,5,1;18;17;16;19,0.25189497665138283,0,,0.0,0.00015656693241488742,8.61091588622843e-05,1.81823785626901,1.0717521077740755
(21)RubyL,trial 6,PaPi21112025_133157_M02DA1_EMG_raw.sig,Wrist Extension,5,17;18;16;19;21,0.24729596525189762,0,,0.0,0.00018333716186876592,0.00010333892930257908,1.7741345212891642,1.1070416209283793
(21)RubyL,trial 7,PaPi21112025_133432_M02DA1_EMG_raw.sig,Wrist Extension,5,17;16;18;15;14,0.2460526057205338,0,,0.0,0.00013717505081210188,7.78384977932283e-05,1.7623034192732798,1.036738955544232
(21)RubyL,trial 8,PaPi21112025_133735_M02DA1_EMG_raw.sig,Wrist Extension,5,19;18;20;22;21,0.24695964236404375,0,,0.0,0.0001720174890500556,9.71339631116758e-05,1.7709304092975753,1.1938798327195865
(22)Holly,trial 1,PaPi21112025_142011_M02DA1_EMG_raw.sig,Wrist Extension,5,17;16;15;18;14,0.34061750182937744,3,15;16;17,0.2208038603676338,0.00017618298162507735,6.315978628963884e-05,2.789480331949439,1.410468281271701
(22)Holly,trial 2,PaPi21112025_142329_M02DA1_EMG_raw.sig,Wrist Extension,5,16;17;18;15;19,0.2710485796227534,2,16;17,0.12326698050115688,8.815738031268913e-05,4.390524117492462e-05,2.007901060410027,1.0310018171172721
(22)Holly,trial 3,PaPi21112025_142648_M02DA1_EMG_raw.sig,Wrist Extension,5,16;17;18;15;19,0.29035996653451196,2,16;17,0.12884395139043858,8.514356431232317e-05,3.853536146178257e-05,2.2094917780066567,1.1551756493402574
(22)Holly,trial 4,PaPi21112025_143031_M02DA1_EMG_raw.sig,Wrist Extension,5,16;17;15;18;32,0.29617460334846535,2,16;17,0.132604243219462,0.00011241218172559385,4.946941050924944e-05,2.2723574137714015,1.0729789362339175
(22)Holly,trial 5,PaPi21112025_143408_M02DA1_EMG_raw.sig,Wrist Extension,5,16;17;18;19;15,0.2734854205545179,2,16;17,0.1220006366244283,8.113346055050642e-05,3.991318592744689e-05,2.032748292706792,1.1604613033696634
(22)Holly,trial 6,PaPi21112025_143705_M02DA1_EMG_raw.sig,Wrist Extension,5,16;32;17;15;20,0.28023970851676894,1,16,0.059825114930892175,9.500188878838129e-05,4.518525013466858e-05,2.102497795303576,1.1584498393918155
(22)Holly,trial 7,PaPi21112025_144055_M02DA1_EMG_raw.sig,Wrist Extension,5,17;30;16;18;31,0.2960107068833199,0,,0.0,8.374897527115005e-05,3.68845403782811e-05,2.270571204418867,1.1890150548036407
(22)Holly,trial 8,PaPi21112025_144352_M02DA1_EMG_raw.sig,Wrist Extension,5,17;18;16;19;15,0.2214860642804372,2,17;18,0.09461787184547053,0.00011161977254628495,7.265530971561223e-05,1.5362920202692356,1.0741428428939115
(23)Vlad,trial 1,PaPi21112025_150605_M02DA1_EMG_raw.sig,Wrist Extension,5,17;16;18;19;15,0.20604370525611315,3,16;17;18,0.12879685524297485,5.888970245655359e-05,4.202259284141391e-05,1.401381934684356,1.0591233624459953
(23)Vlad,trial 2,PaPi21112025_150844_M02DA1_EMG_raw.sig,Wrist Extension,5,17;18;16;19;20,0.2250201611088349,2,17;18,0.09273355757379559,4.579473145810386e-05,2.920725416795328e-05,1.567923201365182,1.0586693934053883
(23)Vlad,trial 3,PaPi21112025_151159_M02DA1_EMG_raw.sig,Wrist Extension,5,32;17;18;19;16,0.26339882578308466,1,32,0.09331515987602464,8.151647120420238e-05,4.221532951206899e-05,1.930968492876445,1.1525650538816836
(23)Vlad,trial 4,PaPi21112025_151434_M02DA1_EMG_raw.sig,Wrist Extension,5,32;17;18;16;19,0.26826591084887924,1,32,0.11064611702115462,6.177715813544441e-05,3.120484033198062e-05,1.9797299867011793,1.1458908356947681
(23)Vlad,trial 5,PaPi21112025_151757_M02DA1_EMG_raw.sig,Wrist Extension,5,32;17;18;16;19,0.23472594537058106,1,32,0.06047623971621786,7.50070185715124e-05,4.52860076943978e-05,1.6562956725547548,1.1058780310470682
(23)Vlad,trial 6,PaPi21112025_152116_M02DA1_EMG_raw.sig,Wrist Extension,5,17;18;16;19;20,0.2393492078218223,3,16;17;18,0.14992619371660756,6.439756357477875e-05,3.7899109370963e-05,1.6991840875320927,1.1677696097678427
(23)Vlad,trial 7,PaPi21112025_152407_M02DA1_EMG_raw.sig,Wrist Extension,5,32;17;18;16;19,0.25091354547880346,1,32,0.08064220869043699,5.631477080838728e-05,3.113410587044012e-05,1.8087807320606122,1.1039649444128203
(23)Vlad,trial 8,PaPi21112025_152724_M02DA1_EMG_raw.sig,Wrist Extension,5,32;19;16;26;10,0.1596118647556305,1,32,0.03408822406652716,0.00031841902332643027,0.00031047024680931943,1.0256023776796646,1.0032746339568184
(24)Emily,trial 1,PaPi21112025_165009_M02DA1_EMG_raw.sig,Wrist Extension,5,21;22;20;23;19,0.4657894971876694,3,20;21;22,0.33138639820425075,0.00033818880856839167,7.182707852558878e-05,4.708374828970805,1.6616876131585248
(24)Emily,trial 2,PaPi21112025_165358_M02DA1_EMG_raw.sig,Wrist Extension,5,20;21;22;19;23,0.4618441031431268,2,20;21,0.2505853593014204,0.0003026517944126118,6.530736989394963e-05,4.6342670804853645,1.6727358855180439
(24)Emily,trial 3,PaPi21112025_165742_M02DA1_EMG_raw.sig,Wrist Extension,5,21;22;20;23;19,0.42652597106623846,3,20;21;22,0.29846340074206096,0.0002927872984941353,7.289986884482734e-05,4.016293899202402,1.6287539034274485
(24)Emily,trial 4,PaPi21112025_170048_M02DA1_EMG_raw.sig,Wrist Extension,5,20;21;19;18;22,0.37761987279431636,3,19;20;21,0.2706036311085385,0.0003525441927109102,0.0001076020835260918,3.276369575366297,1.5389740554964728
(24)Emily,trial 5,PaPi21112025_170350_M02DA1_EMG_raw.sig,Wrist Extension,5,20;21;19;22;23,0.4599729359091897,3,19;20;21,0.3272887657227569,0.00042898909689229015,9.32686607777129e-05,4.599498838250711,1.649708627252131
(24)Emily,trial 6,PaPi21112025_170650_M02DA1_EMG_raw.sig,Wrist Extension,5,20;19;21;22;18,0.413132024585586,3,19;20;21,0.30171559148641625,0.0002951848602840455,7.7651861165822e-05,3.801388091055432,1.4234444181137982
(24)Emily,trial 7,PaPi21112025_170950_M02DA1_EMG_raw.sig,Wrist Extension,5,20;32;19;21;3,0.4336297184952338,3,19;20;32,0.2879205014012586,0.0003731608664440509,9.025759380858528e-05,4.134398566345959,1.699659268504979
(24)Emily,trial 8,PaPi21112025_171348_M02DA1_EMG_raw.sig,Wrist Extension,5,20;21;22;19;23,0.3840460193294899,2,20;21,0.18798832668343568,0.0002733807703598881,8.119685376552952e-05,3.366888711591266,1.590071982551747
(25)JamesW,trial 1,PaPi24112025_101724_M02DA1_EMG_raw.sig,Wrist Extension,5,19;18;20;15;17,0.2642725541203604,2,18;19,0.12398054147081926,0.00015703692792180308,8.096045238658708e-05,1.939674536055579,1.2286052633105196
(25)JamesW,trial 2,PaPi24112025_101956_M02DA1_EMG_raw.sig,Wrist Extension,5,18;17;19;16;15,0.2532951389809573,3,17;18;19,0.15585516062250496,0.00030995026879698844,0.0001692078007380464,1.831772929173803,1.1767038991352903
(25)JamesW,trial 3,PaPi24112025_102235_M02DA1_EMG_raw.sig,Wrist Extension,5,19;20;18;21;32,0.2826389338638899,3,18;19;20,0.19277562171532192,0.00018270592746959846,8.58745933255e-05,2.127590016957261,1.2788153431523537
(25)JamesW,trial 4,PaPi24112025_102518_M02DA1_EMG_raw.sig,Wrist Extension,5,19;18;20;17;16,0.26027474594884514,2,18;19,0.11819340171206412,0.00019239453267453125,0.0001012598736213728,1.9000076317883412,1.2121617205626014
(25)JamesW,trial 5,PaPi24112025_102803_M02DA1_EMG_raw.sig,Wrist Extension,5,19;18;20;17;16,0.27540650197051486,2,18;19,0.1262558595524592,0.00022622753675430053,0.00011022292975180898,2.052454396410087,1.2479537454160556
(25)JamesW,trial 6,PaPi24112025_103046_M02DA1_EMG_raw.sig,Wrist Extension,5,19;18;20;32;21,0.3078660760430991,2,18;19,0.15934969087599699,0.00017940338556607792,7.469046691589224e-05,2.4019582816117784,1.2394673683662996
(25)JamesW,trial 7,PaPi24112025_103334_M02DA1_EMG_raw.sig,Wrist Extension,5,19;18;20;32;1,0.31858876617816156,2,18;19,0.15512977633243866,0.00022086057631418534,8.747889174233764e-05,2.524729931018253,1.3117369851508887
(25)JamesW,trial 8,PaPi24112025_103746_M02DA1_EMG_raw.sig,Wrist Extension,5,19;20;18;21;15,0.2523052776228021,2,19;20,0.11815442464723211,0.0001330647510266843,7.302427367948177e-05,1.8221988980093422,1.2017707211311466
(26)Tommi,trial 1,PaPi24112025_111436_M02DA1_EMG_raw.sig,Wrist Extension,5,16;17;15;14;18,0.2557704607418274,2,16;17,0.1157974883535509,0.0003631006834561888,0.000195654492508027,1.8558259450203634,1.141678350330147
(26)Tommi,trial 2,PaPi24112025_111759_M02DA1_EMG_raw.sig,Wrist Extension,5,16;17;15;14;18,0.2670615134262954,2,16;17,0.12248463779094043,0.00022228540460973825,0.00011297267417550778,1.967603283112592,1.1087090441733853
(26)Tommi,trial 3,PaPi24112025_111933_M02DA1_EMG_raw.sig,Wrist Extension,5,16;17;15;14;18,0.2759828777372628,2,16;17,0.12749463212628084,0.000519597570163556,0.000252429466699038,2.0583871485298992,1.2068380565996648
(26)Tommi,trial 4,PaPi24112025_112229_M02DA1_EMG_raw.sig,Wrist Extension,5,16;17;15;14;18,0.26733983750606216,2,16;17,0.12261957537751908,0.0001914760589895966,9.717613426230252e-05,1.9704020996838087,1.1593007173962813
(26)Tommi,trial 5,PaPi24112025_112528_M02DA1_EMG_raw.sig,Wrist Extension,5,16;17;15;14;18,0.26781795976488415,2,16;17,0.12200739411416786,0.00029146247311066266,0.0001475598687903968,1.9752150466104987,1.201555946171751
(26)Tommi,trial 6,PaPi24112025_112810_M02DA1_EMG_raw.sig,Wrist Extension,5,16;17;15;18;1,0.2801889164374901,1,16,0.06423593398564302,0.00023422311309754057,0.00011143036857243835,2.1019683960326976,1.204808053080291
